species,MEY11_0,MEY11_1,MEY11_2,MEY11_3,MEY11_4,MEY11_5,MEY11_6,MEY11_7,MEY11_8,MEY11_9,MEY4_0,MEY4_1,MEY4_2,MEY4_3,MEY4_4,MEY4_5,MEY4_6,MEY4_7,MEY4_8,MEY4_9,MEY7_0,MEY7_1,MEY7_2,MEY7_3,MEY7_4,MEY7_5,MEY7_6,MEY7_7,MEY7_8,MEY7_8_control,MEY7_9,MEY8_0,MEY8_1,MEY8_2,MEY8_3,MEY8_4,MEY8_5,MEY8_6,MEY8_7,MEY8_8,MEY8_9,total,superkingdom,kingdom,phylum,class,order,family,genus,tax
Kineothrix alysoides,1496,2699,951,924,1430,1234,1038,826,2359,1576,26,88,180,111,65,59,70,75,66,98,587,638,542,516,737,595,800,936,975,2417,484,596,1420,318,600,4317,867,3354,1139,3655,912,41776,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Kineothrix,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides
Dysosmobacter acutus,1697,2395,3122,3256,4206,2029,2697,2066,1743,2441,15,76,351,211,280,146,190,202,295,287,252,476,449,423,223,198,210,241,226,648,192,594,231,191,148,1519,639,1438,1019,1979,1357,40358,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Dysosmobacter,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Dysosmobacter;Dysosmobacter acutus
Luxibacter massiliensis,1536,1801,1424,2893,2089,1177,1659,1982,4437,3403,63,97,390,278,262,272,284,448,428,529,156,229,173,196,221,137,227,232,236,662,116,331,566,286,459,2538,890,1941,1039,2152,2031,40270,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Luxibacter,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Luxibacter;Luxibacter massiliensis
Flintibacter butyricus,2443,1609,3167,2511,3102,1331,1833,2072,1498,3121,57,191,212,191,217,165,229,194,135,280,168,263,214,314,183,218,275,302,277,713,239,303,181,120,224,1279,465,1231,1073,1674,1902,36176,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Eubacteriales_Incertae_sedis,Flintibacter,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Flintibacter;Flintibacter butyricus
Paramuribaculum intestinale,2111,793,3299,2121,5055,3344,1555,2032,835,1518,257,54,161,124,86,89,89,98,326,68,576,167,110,225,159,244,73,405,154,407,290,360,72,268,194,1420,553,1640,1294,859,2209,35694,Bacteria,none,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,Bacteria;none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale
Cuneatibacter caecimuris,1047,925,1023,1137,1783,850,839,608,2275,1290,23,52,83,37,116,112,139,228,328,361,387,403,412,553,660,502,748,956,872,2068,531,292,545,330,475,3097,930,1935,1153,2681,1294,34080,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Cuneatibacter,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Cuneatibacter;Cuneatibacter caecimuris
[Eubacterium] siraeum,183,513,411,816,369,314,448,2052,2754,5726,5,271,242,236,108,153,288,421,413,370,119,50,14,37,18,19,13,16,18,51,21,103,89,128,85,1968,1100,2363,2338,3143,6007,33793,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Oscillospiraceae_Incertae_sedis,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Eubacterium] siraeum
[Clostridium] scindens,2344,1834,2616,2935,3036,849,1540,1706,1773,2221,76,99,367,168,418,272,379,355,342,266,87,129,201,344,128,170,240,698,551,1487,356,104,113,272,183,1032,376,601,644,800,1588,33700,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;[Clostridium] scindens
Acutalibacter muris,1062,1385,2025,2742,4299,1806,1848,3107,1394,2611,28,25,45,24,47,24,47,76,85,195,417,367,285,541,167,153,130,265,157,433,147,323,223,336,197,1073,537,1264,816,1164,1529,33399,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Acutalibacter,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Acutalibacter;Acutalibacter muris
Anaerocolumna xylanovorans,1058,994,958,1126,1963,709,2078,3077,2365,4245,8,57,86,37,74,95,44,86,85,86,69,189,150,278,244,197,245,221,267,630,185,283,283,580,223,1993,651,839,638,2255,3201,32852,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna;Anaerocolumna xylanovorans
[Clostridium] methoxybenzovorans,1310,1561,1465,1884,2582,749,2040,1214,1894,762,5,75,113,75,77,92,62,68,89,44,54,258,79,208,229,55,190,190,237,611,110,335,354,210,251,2187,444,747,634,3017,4435,30996,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;[Clostridium] methoxybenzovorans
Blautia liquoris,2225,1835,3120,2489,3860,978,838,1152,1510,2057,39,94,157,109,188,211,237,122,170,227,114,293,230,210,124,135,134,208,185,426,123,144,168,256,326,1637,687,602,452,1343,293,29708,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia liquoris
Duncaniella muris,2073,837,3166,2209,4424,2888,1322,1569,603,1240,615,113,134,120,84,88,68,121,350,62,314,58,49,70,67,93,23,158,55,118,104,214,24,105,193,958,236,944,1036,585,1260,28750,Bacteria,none,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Bacteria;none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella muris
