genus,MEY11_0,MEY11_1,MEY11_2,MEY11_3,MEY11_4,MEY11_5,MEY11_6,MEY11_7,MEY11_8,MEY11_9,MEY4_0,MEY4_1,MEY4_2,MEY4_3,MEY4_4,MEY4_5,MEY4_6,MEY4_7,MEY4_8,MEY4_9,MEY7_0,MEY7_1,MEY7_2,MEY7_3,MEY7_4,MEY7_5,MEY7_6,MEY7_7,MEY7_8,MEY7_8_control,MEY7_9,MEY8_0,MEY8_1,MEY8_2,MEY8_3,MEY8_4,MEY8_5,MEY8_6,MEY8_7,MEY8_8,MEY8_9,total,superkingdom,kingdom,phylum,class,order,family,tax
Anaerocolumna,2575.0,2237.0,1983.0,3404.0,4640,1660.0,3454.0,4724.0,5327.0,7216.0,67,289.0,558.0,273.0,252.0,240.0,227,400,266.0,330.0,277.0,376.0,255.0,487.0,509.0,489,414.0,579.0,685.0,1788.0,335.0,609.0,499.0,1061.0,680.0,3368.0,1295.0,1934.0,1343.0,3334.0,4581.0,65020.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna
Waltera,9284.0,2529.0,2029.0,3226.0,3180,4085.0,4148.0,2470.0,3476.0,3652.0,49,206.0,305.0,149.0,158.0,111.0,203,204,159.0,230.0,137.0,207.0,171.0,303.0,172.0,235,292.0,429.0,352.0,1035.0,246.0,206.0,234.0,376.0,315.0,1631.0,626.0,1051.0,993.0,1910.0,2276.0,53050.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera
Sangeribacter,2921.0,1325.0,6683.0,4581.0,5956,3884.0,1652.0,2222.0,926.0,1343.0,1044,297.0,474.0,300.0,371.0,335.0,340,385,1411.0,202.0,523.0,110.0,48.0,254.0,209.0,262,94.0,599.0,148.0,405.0,460.0,443.0,84.0,292.0,255.0,1806.0,854.0,2546.0,1757.0,1496.0,3165.0,52462.0,Bacteria,none,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Bacteria;none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sangeribacter
Shuttleworthia,5605.0,5448.0,8137.0,7036.0,9823,1905.0,1111.0,1291.0,1161.0,1661.0,224,224.0,422.0,259.0,87.0,89.0,205,214,141.0,229.0,73.0,129.0,156.0,159.0,101.0,67,101.0,128.0,168.0,455.0,110.0,100.0,155.0,115.0,325.0,2206.0,215.0,270.0,207.0,262.0,669.0,51443.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Shuttleworthia
Anaerostipes,2287.0,2245.0,2239.0,2688.0,2312,1210.0,2095.0,2585.0,2197.0,3451.0,158,177.0,468.0,253.0,393.0,275.0,412,429,416.0,506.0,325.0,281.0,315.0,418.0,307.0,305,402.0,431.0,478.0,1461.0,336.0,586.0,810.0,701.0,517.0,2800.0,1207.0,1849.0,1313.0,2787.0,3997.0,48422.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerostipes
Clostridium,2876.0,2422.0,2687.0,3046.0,3663,1622.0,2613.0,2084.0,2328.0,4319.0,211,227.0,419.0,265.0,332.0,177.0,287,245,325.0,322.0,441.0,307.0,260.0,262.0,319.0,287,244.0,402.0,264.0,776.0,186.0,587.0,411.0,340.0,344.0,1730.0,714.0,2279.0,1346.0,2233.0,2025.0,46227.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium
Sporofaciens,2264.0,1469.0,2145.0,2850.0,5354,2682.0,3280.0,2784.0,2233.0,3801.0,245,197.0,532.0,106.0,281.0,157.0,273,384,298.0,354.0,257.0,219.0,237.0,283.0,208.0,193,361.0,657.0,285.0,820.0,167.0,286.0,482.0,324.0,355.0,2707.0,707.0,1131.0,921.0,1705.0,2105.0,46099.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Sporofaciens
Anaerotignum,4829.0,2445.0,1245.0,2366.0,3802,2001.0,2454.0,2139.0,2124.0,3733.0,82,166.0,487.0,233.0,513.0,478.0,805,682,828.0,1367.0,231.0,397.0,248.0,393.0,223.0,227,219.0,323.0,275.0,709.0,233.0,297.0,514.0,186.0,251.0,1387.0,688.0,1118.0,1290.0,2215.0,1775.0,45978.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerotignum
Kineothrix,1496.0,2699.0,951.0,924.0,1430,1234.0,1038.0,826.0,2359.0,1576.0,26,88.0,180.0,111.0,65.0,59.0,70,75,66.0,98.0,587.0,638.0,542.0,516.0,737.0,595,800.0,936.0,975.0,2417.0,484.0,596.0,1420.0,318.0,600.0,4317.0,867.0,3354.0,1139.0,3655.0,912.0,41776.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix
Dysosmobacter,1697.0,2395.0,3122.0,3256.0,4206,2029.0,2697.0,2066.0,1743.0,2473.0,15,76.0,351.0,211.0,280.0,146.0,190,202,295.0,287.0,252.0,476.0,449.0,423.0,223.0,198,210.0,241.0,226.0,648.0,192.0,594.0,231.0,191.0,148.0,1554.0,639.0,1438.0,1019.0,1979.0,1357.0,40425.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Dysosmobacter
