genus,MEY11_0,MEY11_1,MEY11_2,MEY11_3,MEY11_4,MEY11_5,MEY11_6,MEY11_7,MEY11_8,MEY11_9,MEY4_0,MEY4_1,MEY4_2,MEY4_3,MEY4_4,MEY4_5,MEY4_6,MEY4_7,MEY4_8,MEY4_9,MEY7_0,MEY7_1,MEY7_2,MEY7_3,MEY7_4,MEY7_5,MEY7_6,MEY7_7,MEY7_8,MEY7_8_control,MEY7_9,MEY8_0,MEY8_1,MEY8_2,MEY8_3,MEY8_4,MEY8_5,MEY8_6,MEY8_7,MEY8_8,MEY8_9,total,superkingdom,kingdom,phylum,class,order,family,tax
Proteinivorax,7.0,3.0,0.0,6.0,0,3.0,0.0,4.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,6.0,41.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Proteinivoraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Proteinivoraceae;Proteinivorax
Brachybacterium,0.0,3.0,2.0,3.0,2,0.0,4.0,0.0,4.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,0.0,41.0,Bacteria,none,Actinobacteria,Actinomycetia,Micrococcales,Dermabacteraceae,Bacteria;none;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Brachybacterium
Myroides,5.0,5.0,2.0,1.0,6,6.0,2.0,2.0,1.0,2.0,0,0.0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,40.0,Bacteria,none,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bacteria;none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Myroides
Jeotgalicoccus,2.0,3.0,8.0,2.0,1,1.0,3.0,3.0,0.0,8.0,0,0.0,0.0,0.0,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0,Bacteria,none,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Bacteria;none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus
Yersinia,0.0,0.0,0.0,0.0,1,0.0,17.0,0.0,0.0,3.0,0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,39.0,Bacteria,none,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia
Franconibacter,0.0,0.0,0.0,1.0,0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,21.0,3.0,39.0,Bacteria,none,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Franconibacter
Tractidigestivibacter,0.0,3.0,4.0,4.0,0,1.0,5.0,4.0,4.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,39.0,Bacteria,none,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Bacteria;none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Tractidigestivibacter
Thermosediminibacter,2.0,2.0,3.0,2.0,0,3.0,7.0,6.0,0.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,39.0,Bacteria,none,Firmicutes,Clostridia,Thermosediminibacterales,Thermosediminibacteraceae,Bacteria;none;Firmicutes;Clostridia;Thermosediminibacterales;Thermosediminibacteraceae;Thermosediminibacter
Natribacillus,4.0,3.0,3.0,3.0,0,2.0,2.0,3.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,1.0,38.0,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Natribacillus
Pelagirhabdus,3.0,2.0,0.0,2.0,1,1.0,2.0,1.0,0.0,4.0,1,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,4.0,38.0,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Pelagirhabdus
Leuconostoc,3.0,2.0,0.0,2.0,1,2.0,2.0,4.0,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,38.0,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc
Furfurilactobacillus,3.0,5.0,0.0,3.0,0,6.0,4.0,1.0,6.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,38.0,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Furfurilactobacillus
Acinetobacter,0.0,3.0,0.0,0.0,1,0.0,2.0,2.0,4.0,10.0,0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,5.0,1.0,0.0,37.0,Bacteria,none,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
Helcococcus,2.0,0.0,2.0,3.0,1,0.0,0.0,4.0,4.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,5.0,37.0,Bacteria,none,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Bacteria;none;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Helcococcus
Raineya,0.0,9.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,7.0,0.0,5.0,1.0,37.0,Bacteria,none,Bacteroidota,Cytophagia,Cytophagales,Raineyaceae,Bacteria;none;Bacteroidota;Cytophagia;Cytophagales;Raineyaceae;Raineya
Paracoccus,1.0,0.0,2.0,10.0,6,0.0,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,3.0,36.0,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus
Pseudooceanicola,0.0,2.0,0.0,0.0,2,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,19.0,0.0,36.0,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudooceanicola
Carnobacterium,3.0,3.0,3.0,2.0,2,3.0,1.0,3.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,36.0,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium
Mahella,2.0,2.0,4.0,4.0,1,0.0,2.0,2.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,4.0,35.0,Bacteria,none,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family IV. Incertae Sedis,Bacteria;none;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacterales Family IV. Incertae Sedis;Mahella
Kaistella,3.0,0.0,2.0,7.0,5,1.0,3.0,0.0,1.0,2.0,2,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,35.0,Bacteria,none,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Bacteria;none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Kaistella
Pseudobacteroides,3.0,1.0,0.0,1.0,4,0.0,3.0,3.0,1.0,6.0,1,1.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,34.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Pseudobacteroides
Dubosiella,2.0,0.0,2.0,7.0,2,1.0,5.0,0.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,34.0,Bacteria,none,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bacteria;none;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Dubosiella
Variimorphobacter,0.0,1.0,0.0,1.0,1,0.0,0.0,2.0,2.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,3.0,0.0,3.0,4.0,34.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Variimorphobacter
Euzebya,2.0,1.0,0.0,2.0,0,0.0,0.0,0.0,3.0,6.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,3.0,3.0,2.0,34.0,Bacteria,none,Actinobacteria,Nitriliruptoria,Euzebyales,Euzebyaceae,Bacteria;none;Actinobacteria;Nitriliruptoria;Euzebyales;Euzebyaceae;Euzebya
Salininema,2.0,0.0,0.0,0.0,2,1.0,6.0,2.0,8.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,34.0,Bacteria,none,Actinobacteria,Actinomycetia,Glycomycetales,Glycomycetaceae,Bacteria;none;Actinobacteria;Actinomycetia;Glycomycetales;Glycomycetaceae;Salininema
Komarekiella,0.0,1.0,30.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,Bacteria,none,Cyanobacteria,Cyanobacteria_Incertae_sedis,Nostocales,Nostocaceae,Bacteria;none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Nostocales;Nostocaceae;Komarekiella
Algoriphagus,4.0,3.0,1.0,2.0,5,5.0,1.0,2.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,34.0,Bacteria,none,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Bacteria;none;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus
Aestuariicoccus,1.0,0.0,0.0,29.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,33.0,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Aestuariicoccus
Halanaerobacter,0.0,0.0,7.0,1.0,0,2.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,33.0,Bacteria,none,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Bacteria;none;Firmicutes;Clostridia;Halanaerobiales;Halobacteroidaceae;Halanaerobacter
Bianquea,3.0,2.0,3.0,3.0,4,1.0,3.0,0.0,2.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,33.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Bianqueaceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Bianqueaceae;Bianquea
Speleotes,0.0,0.0,7.0,4.0,0,0.0,1.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,33.0,Bacteria,none,Cyanobacteria,Cyanobacteria_Incertae_sedis,Chroococcales,Microcystaceae,Bacteria;none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Chroococcales;Microcystaceae;Speleotes
Tannockella,0.0,2.0,0.0,1.0,0,0.0,1.0,1.0,1.0,1.0,4,1.0,12.0,2.0,0.0,2.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,33.0,Bacteria,none,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bacteria;none;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Tannockella
Gordonia,0.0,0.0,3.0,2.0,5,2.0,1.0,4.0,5.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,Bacteria,none,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Bacteria;none;Actinobacteria;Actinomycetia;Corynebacteriales;Gordoniaceae;Gordonia
Micromonospora,1.0,1.0,2.0,0.0,5,1.0,1.0,2.0,1.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,32.0,Bacteria,none,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Bacteria;none;Actinobacteria;Actinomycetia;Micromonosporales;Micromonosporaceae;Micromonospora
Amycolatopsis,1.0,4.0,4.0,2.0,1,0.0,2.0,3.0,1.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,32.0,Bacteria,none,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Bacteria;none;Actinobacteria;Actinomycetia;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis
Stutzerimonas,4.0,0.0,6.0,0.0,0,0.0,0.0,5.0,4.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,32.0,Bacteria,none,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas
Ammoniibacillus,2.0,3.0,2.0,2.0,1,2.0,5.0,4.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,32.0,Bacteria,none,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Bacteria;none;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Ammoniibacillus
Maribacter,0.0,0.0,1.0,2.0,4,2.0,2.0,0.0,1.0,3.0,0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,3.0,31.0,Bacteria,none,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bacteria;none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Maribacter
Gloeothece,2.0,2.0,1.0,1.0,1,0.0,1.0,4.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,3.0,2.0,31.0,Bacteria,none,Cyanobacteria,Cyanobacteria_Incertae_sedis,Chroococcales,Aphanothecaceae,Bacteria;none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Chroococcales;Aphanothecaceae;Gloeothece
Parageobacillus,0.0,2.0,1.0,2.0,2,1.0,2.0,1.0,3.0,5.0,0,0.0,1.0,0.0,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,31.0,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Parageobacillus
Intrasporangium,1.0,1.0,1.0,4.0,1,1.0,2.0,3.0,1.0,0.0,0,2.0,1.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,31.0,Bacteria,none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Intrasporangium
Pectinatus,0.0,4.0,1.0,4.0,1,0.0,0.0,3.0,2.0,3.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,31.0,Bacteria,none,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Bacteria;none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Pectinatus
Deinococcus,1.0,2.0,4.0,4.0,1,0.0,2.0,2.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,2.0,0.0,31.0,Bacteria,none,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Bacteria;none;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus
Marinisporobacter,6.0,6.0,2.0,4.0,3,0.0,0.0,1.0,3.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Marinisporobacter
Asticcacaulis,0.0,3.0,3.0,3.0,2,4.0,3.0,0.0,2.0,4.0,0,0.0,1.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,30.0,Bacteria,none,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Asticcacaulis
Dialister,0.0,0.0,0.0,2.0,0,1.0,2.0,4.0,3.0,4.0,1,0.0,5.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,30.0,Bacteria,none,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Bacteria;none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister
Winogradskyella,0.0,2.0,2.0,4.0,3,2.0,0.0,6.0,0.0,4.0,0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,30.0,Bacteria,none,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bacteria;none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Winogradskyella
Sinomonas,2.0,1.0,1.0,2.0,1,1.0,2.0,3.0,0.0,3.0,0,0.0,0.0,0.0,1.0,0.0,1,0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,30.0,Bacteria,none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Sinomonas
Desulfofarcimen,2.0,0.0,1.0,6.0,5,1.0,4.0,2.0,2.0,0.0,1,0.0,0.0,0.0,1.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Peptococcaceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Desulfofarcimen
Clostridioides,0.0,2.0,4.0,2.0,0,1.0,0.0,2.0,2.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,30.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Clostridioides
Paraprevotella,3.0,0.0,4.0,3.0,6,1.0,1.0,3.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,30.0,Bacteria,none,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Bacteria;none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella
Anthocerotibacter,0.0,0.0,0.0,22.0,0,0.0,0.0,0.0,0.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,Bacteria,none,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Bacteria;none;Cyanobacteria;Gloeobacteria;Gloeobacterales;Gloeobacteraceae;Anthocerotibacter
