species,MEO10_0,MEO10_6,MEO11_0,MEO11_6,MEO12_0,MEO12_6,MEO13_0,MEO13_6,MEO14_0,MEO14_6,MEO15_0,MEO15_6,MEO16_0,MEO16_6,MEO17_0,MEO17_6,MEO18_0,MEO18_6,MEO19_0,MEO19_6,MEO1_0,MEO1_7,MEO20_0,MEO20_6,MEO2_0,MEO2_7,MEO3_0,MEO3_7,MEO4_0,MEO4_7,MEO5_0,MEO5_7,MEO6_0,MEO6_7,MEO7_0,MEO7_6,MEO9_0,MEO9_6,MEY10_0,MEY10_6,MEY12_0,MEY12_6,MEY13_0,MEY13_6,MEY14_0,MEY14_6,MEY15_0,MEY15_cntrl,MEY16_0,MEY16_6,MEY17_0,MEY17_6,MEY18_0,MEY18_6,MEY19_0,MEY19_6,MEY1_0,MEY1_6,MEY20_0,MEY20_6,MEY21_0,MEY21_6,MEY22_0,MEY22_6,MEY23_0,MEY23_6,MEY24_0,MEY24_6,MEY2_0,MEY2_6,MEY3_0,MEY3_6,MEY5_0,MEY5_6,MEY6_0,MEY6_6,MEY9_0,MEY9_6,total,superkingdom,kingdom,phylum,class,order,family,genus,tax
Acidicapsa acidisoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bacteria,Bacteria_none,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidicapsa,Bacteria;Bacteria_none;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidicapsa;Acidicapsa acidisoli
Acidobacterium capsulatum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Bacteria,Bacteria_none,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Bacteria;Bacteria_none;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacterium capsulatum
Silvibacterium dinghuense,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Silvibacterium,Bacteria;Bacteria_none;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Silvibacterium;Silvibacterium dinghuense
Brevitalea deliciosa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bacteria,Bacteria_none,Acidobacteria,Blastocatellia,Blastocatellales,Pyrinomonadaceae,Brevitalea,Bacteria;Bacteria_none;Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae;Brevitalea;Brevitalea deliciosa
Chloracidobacterium thermophilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bacteria,Bacteria_none,Acidobacteria,Blastocatellia,Blastocatellia_Incertae_sedis,Blastocatellia_Incertae_sedis_Incertae_sedis,Chloracidobacterium,Bacteria;Bacteria_none;Acidobacteria;Blastocatellia;Blastocatellia_Incertae_sedis;Blastocatellia_Incertae_sedis_Incertae_sedis;Chloracidobacterium;Chloracidobacterium thermophilum
Sulfidibacter corallicola,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bacteria,Bacteria_none,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Sulfidibacter,Bacteria;Bacteria_none;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Sulfidibacter;Sulfidibacter corallicola
Geothrix fermentans,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Bacteria,Bacteria_none,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,Bacteria;Bacteria_none;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix;Geothrix fermentans
Thermotomaculum hydrothermale,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,Bacteria,Bacteria_none,Acidobacteria,Holophagae,Thermotomaculales,Thermotomaculaceae,Thermotomaculum,Bacteria;Bacteria_none;Acidobacteria;Holophagae;Thermotomaculales;Thermotomaculaceae;Thermotomaculum;Thermotomaculum hydrothermale
Thermoanaerobaculum aquaticum,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,14,Bacteria,Bacteria_none,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Thermoanaerobaculum,Bacteria;Bacteria_none;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Thermoanaerobaculum;Thermoanaerobaculum aquaticum
Acidimicrobium ferrooxidans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bacteria,Bacteria_none,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,Bacteria;Bacteria_none;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium;Acidimicrobium ferrooxidans
